,Delta
2020-05-15 03:00:00,-1.8416671666666888
2020-05-15 04:00:00,-1.8828131666666508
2020-05-15 05:00:00,-1.9252600833333204
2020-05-15 06:00:00,-1.940105416666668
2020-05-15 07:00:00,-1.9020819999999856
2020-05-15 08:00:00,-1.9421864999999912
2020-05-15 09:00:00,-2.0730478333333338
2020-05-15 10:00:00,-2.1082034999999952
2020-05-15 11:00:00,2.323438583333342
2020-05-15 12:00:00,0.7669268333333221
2020-05-15 13:00:00,0.3011714999999953
2020-05-15 14:00:00,0.4588546666666673
2020-05-15 15:00:00,0.18906274999999795
2020-05-15 16:00:00,0.7341149166666696
2020-05-15 17:00:00,0.3925768333333295
2020-05-15 18:00:00,0.5402341666666715
2020-05-15 19:00:00,0.259114249999989
2020-05-15 20:00:00,-0.1755196666666734
2020-05-15 21:00:00,-0.45026158333333655
2020-05-15 22:00:00,-0.507813083333339
2020-05-15 23:00:00,-0.5912769999999979
2020-05-16 00:00:00,-0.6020823333333354
2020-05-16 01:00:00,-0.6999999166666839
2020-05-16 02:00:00,-0.7332033333333428
2020-05-16 03:00:00,-0.7990898333333334
2020-05-16 04:00:00,-0.8662745833333148
2020-05-16 05:00:00,-0.9187498333333296
2020-05-16 06:00:00,-1.0249992500000076
2020-05-16 07:00:00,-1.1343746666666732
2020-05-16 08:00:00,-1.13359333333333
2020-05-16 09:00:00,-1.1167960833333341
2020-05-16 10:00:00,-1.2171874999999943
2020-05-16 11:00:00,-1.3260422500000004
2020-05-16 12:00:00,0.9492181666666609
2020-05-16 13:00:00,0.8490879166666616
2020-05-16 14:00:00,0.542187333333338
2020-05-16 15:00:00,0.499088499999985
2020-05-16 16:00:00,-0.07460941666666797
2020-05-16 17:00:00,0.3747405833333204
2020-05-16 18:00:00,-0.1665364166666663
2020-05-16 19:00:00,-0.5587241666666785
2020-05-16 20:00:00,-0.6730471666666773
2020-05-16 21:00:00,-0.7333339166666732
2020-05-16 22:00:00,-0.7743494999999925
2020-05-16 23:00:00,-0.8333338333333415
2020-05-17 00:00:00,-0.8666660000000093
2020-05-17 01:00:00,-0.8999995000000072
2020-05-17 02:00:00,-0.8833328333333483
2020-05-17 03:00:00,-0.8333348333333391
2020-05-17 04:00:00,-0.8661459999999863
2020-05-17 05:00:00,-0.8235681666666466
2020-05-17 06:00:00,-0.8238284999999692
2020-05-17 07:00:00,-0.7665354999999963
2020-05-17 08:00:00,-0.6973947500000008
2020-05-17 09:00:00,-0.7011720833333328
2020-05-17 10:00:00,-0.7374986666666672
2020-05-17 11:00:00,-0.7333316666666718
2020-05-17 12:00:00,-0.7250005833333475
2020-05-17 13:00:00,-0.6246108333333495
2020-05-17 14:00:00,-0.5989594999999994
2020-05-17 15:00:00,-0.5494798333333293
2020-05-17 16:00:00,-0.5583335833333152
2020-05-17 17:00:00,-0.5328114999999798
2020-05-17 18:00:00,-0.4989593333333247
2020-05-17 19:00:00,-0.5828104999999724
2020-05-17 20:00:00,-0.5552070833333218
2020-05-17 21:00:00,-0.496874583333323
2020-05-17 22:00:00,-0.526040166666661
2020-05-17 23:00:00,-0.5677085000000021
2020-05-18 00:00:00,-0.5958315833333359
2020-05-18 01:00:00,-0.6248705000000143
2020-05-18 02:00:00,-0.6242205833333401
2020-05-18 03:00:00,-0.6333338333333103
2020-05-18 04:00:00,-0.6565085833333342
2020-05-18 05:00:00,-0.6812496666666661
2020-05-18 06:00:00,-0.6505204166666587
2020-05-18 07:00:00,-0.7000009999999861
2020-05-18 08:00:00,-0.6583358333333322
2020-05-18 09:00:00,-0.6343767500000013
2020-05-18 10:00:00,-0.6510422500000033
2020-05-18 11:00:00,-0.6255198333333141
2020-05-18 12:00:00,-0.5632801666666579
2020-05-18 13:00:00,-0.4915371666666744
2020-05-18 14:00:00,-0.5339845000000025
2020-05-18 15:00:00,-0.483333916666659
2020-05-18 16:00:00,-0.47551941666665704
2020-05-18 17:00:00,-0.5067704999999947
2020-05-18 18:00:00,-0.647004250000009
2020-05-18 19:00:00,-0.6453120833333301
2020-05-18 20:00:00,-0.7328130833333404
2020-05-18 21:00:00,-0.7088550000000069
2020-05-18 22:00:00,-0.7624992499999976
2020-05-18 23:00:00,-0.8166669166666765
2020-05-19 00:00:00,-0.8333348333333391
2020-05-19 01:00:00,-0.8916676666666632
2020-05-19 02:00:00,-0.8997396666666546
2020-05-19 03:00:00,-0.8998689166666622
2020-05-19 04:00:00,-0.8880210833333209
2020-05-19 05:00:00,-0.9177093333333346
2020-05-19 06:00:00,-0.9260408333333316
2020-05-19 07:00:00,-0.9166656666666668
2020-05-19 08:00:00,-0.8749988333333292
2020-05-19 09:00:00,-0.8598954999999933
2020-05-19 10:00:00,-0.8088534166666506
2020-05-19 11:00:00,-0.5748707500000165
2020-05-19 12:00:00,-0.6760405833333252
2020-05-19 13:00:00,-0.7091155833333289
2020-05-19 14:00:00,-0.7824221666666631
2020-05-19 15:00:00,-0.8171873333333437
2020-05-19 16:00:00,-0.8247400000000127
2020-05-19 17:00:00,-0.84375
2020-05-19 18:00:00,-0.9076819166666609
2020-05-19 19:00:00,-1.0497396666666674
2020-05-19 20:00:00,-1.2164073333333434
2020-05-19 21:00:00,-1.266667916666684
2020-05-19 22:00:00,-1.2248698333333436
2020-05-19 23:00:00,-1.2251301666666805
2020-05-20 00:00:00,-1.183333833333336
2020-05-20 01:00:00,-1.199871916666666
2020-05-20 02:00:00,-1.2932295833333498
2020-05-20 03:00:00,-1.272396166666681
2020-05-20 04:00:00,-1.416665999999985
2020-05-20 05:00:00,-1.4096348333333353
2020-05-20 06:00:00,-1.5253910000000062
2020-05-20 07:00:00,-1.4759117500000232
2020-05-20 08:00:00,2.6087229999999977
